cell_line_name,SLC22A16 (85413),FMO1 (2326),STMN4 (81551),ISL1 (3670),MYOC (4653),UTS2 (10911),POU1F1 (5449),NOX3 (50508),FGF20 (26281),TBX5 (6910),IL5RA (3568),CMA1 (1215),FMO2 (2327),KCNK16 (83795),MLN (4295),PLA2G3 (50487),PDYN (5173),ASIP (434),TLR8 (51311),CLEC4M (10332),ICAM4 (3386),CRX (1406),PAX4 (5078),CRYBA1 (1411),DBX1 (120237),P2RX3 (5024),FHL5 (9457),C7 (730),NPHS2 (7827),RPE65 (6121),AMPD1 (270),PLA2G2D (26279),CRYGD (1421),TNP1 (7141),ZC2HC1B (153918),ADGB (79747),ECRG4 (84417),ELOVL3 (83401),SOCS2 (8835),FAM124B (79843),C20orf85 (128602),KIF25 (3834),BARHL1 (56751),SIRPD (128646),WNK4 (65266),MCHR1 (2847),ABHD12B (145447),NMUR2 (56923),TPTE2 (93492),MYO18B (84700),TSHB (7252),CNMD (11061),MMD2 (221938),UNC13C (440279),SLC28A2 (9153),SULT6B1 (391365),LBX1 (10660),CCDC54 (84692),MMRN1 (22915),ANP32D (23519),RNF113B (140432),DNMT3L (29947),DMRTB1 (63948),PROK1 (84432),GADL1 (339896),ECE2 (9718),UGT3A1 (133688),IFNA5 (3442),ANKRD30A (91074),OCSTAMP (128506),KLHL1 (57626),G6PC2 (57818),CPB1 (1360),SLC5A10 (125206),PPP1R3A (5506),ALX3 (257),VWA5B1 (127731),SPON2 (10417),UBASH3A (53347),TREML1 (340205),AXDND1 (126859),ANKRD30BL (554226),C1QTNF7 (114905),PROK2 (60675),SYNPR (132204),PITX2 (5308),CARTPT (9607),PGAM2 (5224),UNCX (340260),SLC18A2 (6571),GFI1B (8328),SERPINA12 (145264),C1QL3 (389941),KCNC2 (3747),PRKCB (5579),CLEC3A (10143),CPLX4 (339302),MS4A14 (84689),JSRP1 (126306),CABP2 (51475),GCSAML (148823),MRAP (56246),IRX1 (79192),DYDC1 (143241),PLA2G1B (5319),SPACA5 (389852),RXFP1 (59350),S100Z (170591),PRND (23627),HSFY1 (86614),SNTG2 (54221),FNDC9 (408263),HPSE2 (60495),SLC2A14 (144195),GPR148 (344561),SFT2D3 (84826),XCR1 (2829),WFIKKN2 (124857),KRT28 (162605),VWC2L (402117),PHYHD1 (254295),APOF (319),CCDC197 (256369),CIDEA (1149),EFCAB5 (374786),C10orf71 (118461),TEX44 (165100),CAPZA3 (93661),ZNF114 (163071),HTR1A (3350),C10orf53 (282966),GP5 (2814),TPRX1 (284355),WSCD1 (23302),HNRNPCL4 (101060301),TMEM132C (92293),MAB21L2 (10586),ODF3L2 (284451),OR6B2 (389090),TBPL2 (387332),HS3ST4 (9951),OR2V2 (285659),KCNB2 (9312),GABRR3 (200959),GOLGA8G (283768),FIGLA (344018),TRIML1 (339976),COLEC10 (10584),A3GALT2 (127550),LRRC19 (64922),C14orf180 (400258),RALYL (138046),CLDN6 (9074),PRR23B (389151),DBX2 (440097),KCNIP4 (80333),TAS2R42 (353164),KLHL32 (114792),BTLA (151888),TMPRSS12 (283471),MYT1L (23040),H1-7 (341567),GCNT1 (2650),FAM9C (171484),DCC (1630),COX8C (341947),SSX7 (280658),RTP5 (285093),HEPACAM2 (253012),NANOS2 (339345),INSC (387755),NANOS1 (340719),SHISA6 (388336),GRAPL (400581),TOGARAM2 (165186),GRM7 (2917),ALKAL1 (389658),ZNF705A (440077),FAM110D (79927),GYPE (2996),ZNF311 (282890),RD3 (343035),OXCT2 (64064),SYCP1 (6847),CD247 (919),SFMBT2 (57713),ASB12 (142689),GPR52 (9293),C1orf146 (388649),AWAT1 (158833),NXPE2 (120406),AADACL4 (343066),C11orf91 (100131378),FABP9 (646480),CTXN3 (613212),ACOT6 (641372),MBD3L4 (653656),DEFB135 (613209),TSSK1B (83942),CSH2 (1443),TSGA13 (114960),CEACAM16 (388551),SMCO1 (255798),GNAT3 (346562),FAM166B (730112),ZNF705B (100132396),SCRT2 (85508),LACTBL1 (646262),SUPT20HL2 (170067),GPX5 (2880),FRG2B (441581),AC013470.2 (102725191),ANHX (647589),TEX46 (729059),MRLN (100507027),ANKRD18B (441459),PRB4 (5545),AKAIN1 (642597),TMEM114 (283953),C16orf82 (162083),TMEM229A (730130),IQCM (285423),MFRP (83552),KRBOX1 (100506243),PWP2 (5822),AMY2A (279),TNFRSF6B (8771),KRTAP4-2 (85291),PDCD6 (10016),GIMD1 (100507096),TRMT9B (57604),EXOC1L (644145),DCANP1 (140947),RGS21 (431704),CD8B2 (927),CHMP1B (57132),NANOGP8 (388112),FXYD6-FXYD2 (100533181),OR10G2 (26534),TIFAB (497189),PGA5 (5222),STH (246744),C17orf49 (124944),BCL2L2-PABPN1 (100529063),TGIF2-RAB5IF (100527943),ARMH2 (101928603),MUC22 (100507679),GFY (100507003),MYMX (101929726),RPL17 (6139),KLF14 (136259),PTGES3L (100885848),NDUFA7 (4701),FAM236B (100132304),SPIB (6689),H3Y1 (391769),UGT2A2 (574537),SRXN1 (140809),MUSTN1 (389125),DOC2B (8447),GRIN2B (2904),TMEM271 (112441426),CEACAM20 (125931),H4C6 (8361),XKR5 (389610),LYZL6 (57151),HNRNPCL2 (440563),CRYAA2 (102724652),OR4E1 (26687),GSTT4 (25774),F8A3 (474384),PKD1L3 (342372),P3R3URF-PIK3R3 (110117499),AC023491.2 (101929738),IQCA1L (392843),PRAMEF26 (645359),CCDC163 (126661),KLF18 (105378952),CENPVL2 (441495),IQCJ-SCHIP1 (29970),C13orf46 (100507747),SMIM33 (111064649),CSNKA2IP (111064647),MYOCOS (110806290),PRSS50 (29122),AC131160.1 (55486),SCO2 (9997),OR8S1 (341568),OR4F29 (729759),TBCE (6905),EEF1AKMT4-ECE2 (110599583),H3C3 (8352),DUS4L-BCAP29 (115253422),SF2
SCC-25,-0.0928327757802916,-0.1725219316489644,-0.0923253697438247,-0.0386606224682002,-0.1470861857064051,-0.3757259696824074,-0.1512218915543647,-0.1302350033601944,-0.3238371362996424,-0.2686784694754975,-0.2042692405781047,-0.4133431317337455,-0.2332815737348195,-0.1232238196447583,-0.1638590480788454,-0.3519350007548565,-0.0530955727221723,-0.4159576997538463,-0.1667028163025272,-0.201152183572411,-0.4793300293053098,0.1764845815121397,-0.1225713585054709,-0.4189087224115293,-0.0952752876028957,-0.1657884243395902,-0.1813703127342014,-0.3228405998412418,-0.2404504215426159,-0.2098644461826005,-0.0411119862476256,-0.1273921525592933,-0.1182117259285659,-0.1290654955526575,-0.3198122764276566,-0.0733117561862149,-0.3202504455736688,-0.7202514723358473,-0.0096308814614153,-0.2307710074172251,-0.120424026620144,-0.4986369517007417,-0.1788499987379457,-0.260886360526325,-0.5084359684860303,-0.0721326673749593,-0.2535735428420806,-0.2221651997538415,-0.1635920690570023,-0.3223667885220654,-0.239105071477707,-0.1653264157123741,-0.1277259187896084,-0.3534606082499794,-0.0874383858083696,-0.2073891288482603,-0.2408043217496412,0.3283176182639652,-0.1881292020961284,-0.4127292150909126,-0.4300812746926841,-0.3005190124824437,-0.2221016386511519,-0.1314240292147134,-0.2530003728888521,-0.2259956165918838,-0.1898459638973962,-0.38751341377878,-0.201877335631584,-0.2283620491873942,-0.177207431788981,-0.2221993356780867,-0.232360609987698,-0.1189571647229977,-0.174054697355195,-0.2607376430566355,-0.1776136279436019,0.6925198002193879,-0.38309058218922,0.0751201791291342,-0.2467758965968273,-0.1426106385994558,-0.2963812170668804,-0.2469202096443825,-0.1926735229084872,0.220443887715259,-0.1302870736902926,-0.4976354060635796,-0.1321647482676143,-0.3829816784353024,0.1565080826673918,-0.2088077001563754,-0.2801230788245965,-0.0836154108011888,-0.2538802473691047,-0.1449017221542941,-0.4564432912020927,-0.1913690149159986,-1.0876714592343404,-0.1500539538739299,-0.2161938267530841,-0.2766608000018719,0.4859805901750895,-0.1778888103161832,-0.1163857367954693,-0.3148069333998068,-0.1803542642142801,-0.3661752955876036,-0.146758241411367,-0.0873619689656096,-0.3105267984405938,-0.5568345323248061,-0.2773730706066596,-0.3648013189311311,-0.1291068626621646,-0.4701522947502332,0.0240449237827183,-0.1638651677776069,-0.101410974569071,-0.1412508347507296,-0.434406438172034,-0.2286143546354926,-0.258346041307298,2.4222462605156503,-0.84508445229279,-0.1021816222427288,-0.2575566462773276,0.0285992194449714,0.9579971723056652,-0.0868946326100394,-0.1109493230576381,-0.5402880611915624,-0.2164194703119061,-0.4432186490272345,-0.3539086286359117,-0.1606647922759229,-0.2315457646633938,-0.386910404838549,-0.4151710137804115,1.2778388640445562,-0.1311084122104943,-0.3138460446015552,-0.2361510742293068,-0.1724215589822915,0.0599265797732167,-0.1984746106058897,-0.2917601106437671,-0.3905584104144664,-0.4442055336360229,-0.2337380120027153,-0.1245738035809779,-0.2364271697314998,-0.3569517340119441,-0.1317863722794799,-0.1527993553399549,-0.3077016813499189,-0.0558184378576708,-0.5030755172062938,-0.1323036063092435,-0.2413437555984704,-0.2801031883250393,-0.4726744146386376,1.0176268217260191,-0.2201811142227185,-0.2549225414685385,0.1876626535929215,-0.1300072166558231,-0.2511347225897155,-0.2600714765569549,-0.3790860093110889,0.0295910975491886,-0.5584572429775093,-0.140802866541361,-0.4714253564025232,-0.6021830412992917,-0.2903321675239906,-0.3153325506694973,-0.2893761310641117,-0.423782639469367,-0.3415817452717761,0.1401004854406115,-0.2033165471506096,-0.2917323050887102,-0.1287803549931837,-0.5613156954595612,-0.5106359206020525,-0.524154607399835,-0.6634489376599446,-0.278937726668559,-0.2427299383424583,-0.2225738434430008,-0.1197827920789704,-0.1123163794338899,-0.091228536329631,0.2809853279782161,-0.1387627187895179,-0.1383266965544064,-0.0876342488159378,1.37136111630587,-0.1854338986117593,-0.1094386283734358,-0.1194573374975619,0.7642376242299838,-0.1905947921608037,-0.849659798918303,-0.0845689248167902,-0.1489390392823008,0.871823511756861,-0.1130115622313746,-0.1198542964312355,-0.2945184702297225,-0.317264639827463,0.2726132263554268,1.549762508338104,-0.2633286822256803,0.0958079838509811,0.570632884052627,-0.1737721182064658,-0.116095218898942,-0.1860641053736107,-0.1573303991447588,-0.2481260713555062,-0.133121521613622,-0.5811621012312191,-1.4092856665077058,-0.1221606217933203,0.5775619188904869,-0.2319175753752437,-1.6203622252968857,-0.2369115472204211,-0.5652237929419487,-0.2309150200439874,-0.4000350475309438,-0.0366394495603996,0.0577137516315191,-1.0442903528665857,-0.5874090289074435,-0.3164520167054502,0.5754058632201768,-0.1249789833974235,-0.3738411070375581,-0.4028668459920332,-0.077386306620605,2.022223856036468,0.1882509598287119,-0.1653143490800762,-0.1662302447081642,-0.3786704945708832,-0.0762483599463913,-1.986329553560256,-0.5417915859025219,-0.4145329919617915,-2.869179065328085,-0.0837723121976261,-0.4519054342318684,-0.1550343554325401,-0.1235772699583849,-1.051721134315005,0.1436646110665152,-0.1919154957398754,-0.4434568728234148,-0.2201277383020128,-0.3483999096928779,0.5288926662129332,-0.4700872244668986,-0.1475351766784057,-0.8356340315963564,-0.4076356149476077,-0.0986989922476449,-0.1364227775274846,-0.3135212870955703,0.0820440209484977,-0.1243219533514369,-0.2098587400972979,-0.4260600488680952,-0.0777350406421073,-0.7041337474885626,-0.2510961856708444,-0.2214521968955605,0.3789547848584776,-0.753064698009989,-0.1548602893690837,-0.2041513857928759,-0.0490536509516636,-0.2502355220434859,-0.4817580228488847,0.3310805108099532,-0.3199395357192872,-0.4951091838511736,-1.7792723435070892,-0.3202997504088666,-0.3819970936779746,-0.8702101234657248,0
BICR 31,0.5203546349679333,-0.1221655656828094,-0.0923253697438247,-0.3567338646445906,-0.1470861857064051,-0.3098808779043048,-0.1512218915543647,-0.1302350033601944,-0.1795939911557843,-0.2686784694754975,-0.2042692405781047,0.3970803595720694,0.2000679483512056,-0.1232238196447583,-0.1638590480788454,-0.3330637185248312,-0.1401756288742429,0.2026591826402277,-0.1667028163025272,-0.201152183572411,1.7177043903085298,0.1764845815121397,-0.1225713585054709,0.230965867723066,0.020346779664315,-0.0295519170085958,-0.1813703127342014,-0.2424605627600586,-0.2404504215426159,-0.3048858012071214,-0.351831740202536,-0.0599589249397443,-0.1182117259285659,-0.1290654955526575,-0.3198122764276566,-0.2470272502473428,2.781089829020503,0.2972816492924157,0.0510104019068763,-0.1816101015387617,-0.120424026620144,-0.5636783378000626,-0.0939258787195176,-0.260886360526325,-0.4529577654118997,-0.1536356225752413,3.771507078353782,-0.2413133012608057,-0.1635920690570023,-0.0830507824295922,0.9172824861373334,0.3108930891304653,0.0330488535148488,-0.3534606082499794,-0.2470289161305459,-0.2073891288482603,-0.2408043217496412,-0.1504294875764032,-0.1445440908728877,0.6540888772981013,-0.4300812746926841,-0.3005190124824437,-0.2221016386511519,-0.1314240292147134,-0.2530003728888521,-0.1125603199689918,-0.1898459638973962,-0.38751341377878,0.1719519131756368,-0.2283620491873942,-0.177207431788981,-0.2221993356780867,-0.1958252001304382,0.3195394128619194,-0.174054697355195,0.1062593720981749,-0.1069884969637828,-0.005294787331144,-0.2006340665012571,-0.1080588359935614,0.2597001407557854,-0.0590163273000353,0.816110267292106,-0.1753976476828526,-0.1926735229084872,0.6031207312469203,-0.1302870736902926,-0.0760296147215436,-0.0584013900017302,-0.280669211094254,-0.304664040281227,-0.0423707247209568,0.5531497406463645,-0.1319888865875308,-0.1626596542248839,-0.19633019332745,-0.4564432912020927,-0.1913690149159986,-7.055456398384025e-05,2.5411077522792462,-0.1708303512852125,-0.2766608000018719,1.3037058335456748,-0.1778888103161832,-0.3085361242174488,-0.3148069333998068,-0.2207003825560509,0.2388728699388539,-0.146758241411367,-0.0873619689656096,-0.0118009360047089,-0.5568345323248061,-0.2773730706066596,-0.3847082042047351,-0.1291068626621646,-0.4701522947502332,-0.2225772868633167,-0.1257438879135811,-0.101410974569071,-0.1412508347507296,-0.2981013342520387,-0.2286143546354926,-0.258346041307298,0.0287176576629831,-0.0601937840490972,-0.1021816222427288,-0.2575566462773276,-0.2934463821413291,-0.1827647074310058,-0.0868946326100394,-0.1109493230576381,-0.3334849885691388,0.6633031539367499,-0.5312419833364603,0.1954079245449855,-0.1606647922759229,-0.1763018596352257,0.272565198195512,-0.4151710137804115,0.3194149859939958,-0.1311084122104943,-0.3138460446015552,0.0930023551398431,-0.1724215589822915,-0.2369138176310563,-0.1984746106058897,1.2165610096047523,-0.1148533484793382,0.5954059907369205,-0.1573592562541528,-0.1245738035809779,-0.2364271697314998,-0.1394329090370492,-0.1317863722794799,-0.1527993553399549,-0.2759991526187574,-0.1406797210087292,-0.3268296587042308,-0.3353528923739656,2.1434149841113554,-0.2444239179650517,3.1513080733915664,1.345310414082142,-0.1993114397855406,-0.2549225414685385,-0.4405805008554267,-0.1300072166558231,-0.2511347225897155,-0.2332672086816646,-0.3790860093110889,-0.2977214076033863,0.7656182039265984,-0.1996381348058327,-0.247170911421043,0.0298118309174183,-0.2110919705410431,0.8218492414487599,0.0201562331468637,0.1605727260849418,-0.3415817452717761,1.1991195363740352,-0.2033165471506096,3.3139925327430486,-0.1287803549931837,-0.2521704974015069,-0.554064282903365,-0.524154607399835,0.7785585393569506,-0.278937726668559,-0.2427299383424583,-0.2726305756909218,-0.1197827920789704,1.5862999132369344,-0.091228536329631,-0.2552760182930944,-0.2887181874600901,-0.1383266965544064,-0.0876342488159378,1.1042381750392931,-0.1322122607285258,-0.1094386283734358,-0.1194573374975619,0.7642376242299838,-0.1512535982850116,0.0278709361644497,-0.0845689248167902,-0.1489390392823008,-0.1643571981102375,-0.1130115622313746,-0.0436692968474794,-0.1585716925457611,0.2893555173492199,-0.1314042860908968,3.390227928941754,-0.2633286822256803,0.8265555109520579,-0.3004718766031654,-0.1737721182064658,-0.116095218898942,-0.1860641053736107,-0.1573303991447588,0.931855516061108,-0.133121521613622,2.049345096588405,-1.126166322249727,-0.1221606217933203,1.063321525967733,-0.2319175753752437,1.3536505486997958,-0.2369115472204211,-0.3098193820422214,0.1244548013776755,1.833791513980072,-0.0948823649462626,1.0906711207268192,1.0841147015301495,0.63696620041245,-0.3164520167054502,0.5754058632201768,-0.1249789833974235,-0.1731877964133556,-0.4028668459920332,0.4226607764658182,-0.1265952649174689,1.6862186729908817,-0.1653143490800762,0.1518435787303214,-0.3192827234231545,-0.119051103644436,-1.205508130827309,1.4546318667275313,0.9716461964407552,-0.1312797132635459,-0.0837723121976261,-0.4519054342318684,-0.1550343554325401,0.6267327562019568,-0.7190518971882822,-0.5723179696974725,0.6755117341976197,-0.4434568728234148,-0.2201277383020128,-0.3483999096928779,-0.3713618153711331,-0.3896966195132705,-0.1475351766784057,0.8055791225408279,0.1152448482760673,-0.0986989922476449,-0.1364227775274846,0.3258595530259802,0.0820440209484977,-0.1243219533514369,2.5222902410838115,-0.4260600488680952,-0.0777350406421073,0.4572410022559456,0.3873749703456585,-0.2214521968955605,0.5328470279458692,0.5147184064796034,-0.1548602893690837,-0.2041513857928759,-0.2751838478008992,-0.2502355220434859,-0.1233427045980145,-0.0909505984506908,0.7900532408825246,0.4086051105752029,-1.485630204139686,-0.3202997504088666,-0.5130416247081373,-0.4042833888787841,1
BICR 6,-0.3092003382985331,-0.1725219316489644,0.440893802701625,-0.5454479386297845,-0.0712834688127572,-0.3590233912178514,-0.1512218915543647,-0.1302350033601944,-0.3026237799903096,-0.2686784694754975,-0.2042692405781047,-0.4133431317337455,0.2000679483512056,-0.1232238196447583,-0.1638590480788454,0.1018465846876701,0.1185074437757599,-0.4159576997538463,-0.1667028163025272,-0.0956343508258035,1.988064479421126,-0.2008205653754385,-0.1225713585054709,-0.4189087224115293,-0.0952752876028957,-0.1657884243395902,-0.1813703127342014,-0.3228405998412418,-0.2404504215426159,-0.3048858012071214,-0.351831740202536,-0.0599589249397443,-0.1182117259285659,-0.1290654955526575,-0.3198122764276566,-0.2470272502473428,-0.3202504455736688,0.0217258453682388,-0.687970964085784,-0.1816101015387617,-0.120424026620144,-0.4986369517007417,-0.0939258787195176,-0.260886360526325,-1.0914421559356922,-0.0190456076925157,1.7020999468851246,-0.1658274411717183,-0.1635920690570023,-0.3223667885220654,-0.239105071477707,-0.1653264157123741,-0.1277259187896084,-0.3175791715973388,0.3216675890895008,-0.2073891288482603,-0.2825986566662282,-0.1504294875764032,-0.1662298185201321,-0.1951609170513066,-0.4300812746926841,-0.3005190124824437,-0.2221016386511519,-0.1314240292147134,-0.2530003728888521,-0.2259956165918838,-0.1898459638973962,-0.38751341377878,-0.1714420815253645,-0.2283620491873942,-0.177207431788981,-0.2221993356780867,-0.1958252001304382,-0.2312423770511945,-0.174054697355195,2.253362291630268,-0.1776136279436019,1.0108206631167689,0.857547687920015,-0.2331962624957472,-0.4546034584492383,-0.1426106385994558,-0.2963812170668804,-0.2469202096443825,-0.1926735229084872,-1.2001964786766148,-0.1302870736902926,-0.4976354060635796,-0.1321647482676143,-0.148793459110656,-0.2606930309886415,-0.2088077001563754,-0.5878958139433407,-0.1319888865875308,-0.3014093055659176,-0.1790179118870915,-0.0263940119833846,0.0643253538090814,0.4316119074010229,-0.1500539538739299,-0.1708303512852125,-0.2766608000018719,-0.3775174285774456,-0.1778888103161832,-0.3085361242174488,0.2594071796448428,-0.2411740450966031,-0.2797826630224247,-0.146758241411367,-0.0873619689656096,-0.3105267984405938,-0.5568345323248061,-0.2773730706066596,-0.2870257693874006,-0.1291068626621646,-0.4701522947502332,-0.2225772868633167,-0.0136044573905868,0.0488388408511477,-0.1412508347507296,2.813253540700548,-0.2286143546354926,-0.258346041307298,-0.0668140491455277,-0.992699584547016,-0.1021816222427288,-0.2575566462773276,-0.2934463821413291,0.9794936317988232,-0.0868946326100394,-0.1109493230576381,-0.3334849885691388,-0.2164194703119061,-0.6600876029052039,0.1954079245449855,-0.1251028981669784,-0.2036529913376534,0.659589261758359,-0.4151710137804115,-0.180740123175242,-0.1022250520177156,-0.3138460446015552,-0.2004538238296531,-0.1724215589822915,0.6287479706310011,-0.1984746106058897,1.8533624987363109,-0.3557841796934518,-0.4442055336360229,-0.4312383502341072,-0.1245738035809779,-0.2364271697314998,2.6692943011323216,-0.1317863722794799,-0.1527993553399549,-0.3077016813499189,-0.0558184378576708,-0.3268296587042308,0.0649709767414442,0.2966364532990576,-0.2801031883250393,-0.4726744146386376,1.1808232451112832,-0.2522504704107934,-0.2549225414685385,0.1876626535929215,-0.1300072166558231,-0.2511347225897155,-0.2466042826945839,-0.3790860093110889,-0.5250160397051317,-0.787615753386958,-0.1996381348058327,-0.2911550209836185,-0.4172446279750811,-0.2903321675239906,-0.3153325506694973,0.0201562331468637,-0.2735054515262466,-0.0709656350945218,-0.6098826373258935,-0.2033165471506096,0.5692211531999997,-0.1287803549931837,-0.5290411051832534,-0.5763244099990518,-0.524154607399835,-0.9120864318835964,-0.278937726668559,-0.2427299383424583,-0.2225738434430008,-0.1197827920789704,-0.1123163794338899,-0.091228536329631,-0.2552760182930944,-0.2887181874600901,-0.1383266965544064,-0.0876342488159378,0.5623478056769146,-0.1059915172735477,-0.1094386283734358,-0.1194573374975619,-0.0312478025506296,-0.1708268144390658,-0.6837788665916162,-0.0845689248167902,-0.1489390392823008,0.3562980024669716,-0.1130115622313746,-0.1198542964312355,-0.2262085739646717,-0.6301117203565306,-0.1314042860908968,-0.3578295840751452,-0.2633286822256803,1.4540112523402755,-0.3004718766031654,-0.1737721182064658,-0.116095218898942,-0.1860641053736107,-0.1573303991447588,-0.3279692151504719,-0.133121521613622,-0.4915150480200265,-2.034994752355651,0.0053639290002106,-0.3117767729984715,-0.2319175753752437,-1.308303231418147,-0.2369115472204211,-0.6153064357783513,-0.2309150200439874,-0.4000350475309438,-0.0366394495603996,-0.0783783603454534,-1.3495110009225315,-0.3377083191937162,-0.0853749147636329,0.2043572240816233,-0.1249789833974235,-0.1731877964133556,-0.4028668459920332,-0.7554056567138635,-0.9827630905797688,-0.4202278227188085,-0.1653143490800762,-0.0064060086808737,-0.348829607161659,0.8786025475271222,-1.890754174539768,0.2225194357687017,-1.0475361560735856,-2.3405021883026182,-0.0837723121976261,-0.1904322528119482,0.1217957676208568,-0.1235772699583849,-1.6221815279899467,-0.5527797276600668,-0.1388948899197186,-0.4434568728234148,-0.1739839301909022,-0.2222906411227043,-0.3713618153711331,-0.5250054879596499,0.12736808861743,-0.0886942414938804,-0.6238619791690904,-0.0986989922476449,0.0542410616461506,0.2439686132387771,-0.2233544252113318,-0.1243219533514369,-0.2098587400972979,-0.4260600488680952,-0.0777350406421073,-1.991847934754753,-0.2510961856708444,-0.2214521968955605,-0.3776310266008514,-0.6868786033738942,-0.1548602893690837,-0.2041513857928759,-0.2751838478008992,-0.2502355220434859,-0.0043955557350359,-1.3231448643966537,-0.3199395357192872,-0.4951091838511736,-3.608782846462889,-0.3202997504088666,-0.2993333802171477,-1.4078656911992398,0
