cell_line_name,alpha,beta,SF2,R2,AUC
SNU-719,0.143812919054941,0.0,0.619284653,0.7839277,4.37150110154586
TOV-112D,0.102114168088907,0.034519627452736,0.869068095,0.9780758,2.63500081975745
KYM-1,0.386105894357934,0.0,0.47676186,0.9884604,1.70588652943253
Hep G2,0.0208524700592825,0.0173477871186721,0.888062345,0.9064374,4.78546547702405
SK-CO-1,0.319928322012059,0.0,0.274519283,0.654574,2.14238505534817
HCC4006,0.249905168553522,0.0,0.657366049,0.9006334,2.78790457786118
SK-MEL-24,0.152487653091606,0.0,0.494396874,0.5446273,4.20310466833803
SNU-1077,0.175520609986457,0.0188480181620813,0.710263861,0.9946138,2.60025048327508
KYSE-30,0.564255602708259,0.0,0.542050357,0.8650813,1.00174387021619
BICR 22,0.470949377304379,0.0,0.264567214,0.9190087,1.30672186724697
GMS-10,0.12779924554182,0.0141645066925684,0.70882479,0.9792669,3.34755764462456
BHT-101,0.550541683408577,0.0,0.254316237,0.9833167,1.04001694004385
LK-2,0.382405487782709,0.0102424912170139,0.573259988,0.9858831,1.50356315817626
ACHN,0.521487962617509,0.0,0.189876318,0.8344352,1.12792918710028
HEC-251,0.44880158231343,0.0,0.188673611,0.5783251,1.39738773124422
BICR 56,0.213927458377014,0.0,0.696196423,0.9723053,3.22383454663928
MOR/CPR,0.0,0.0358451208819908,0.795662729,0.9814065,3.65797307558719
A101D,0.083233667648762,0.0136137913105581,0.953137632,0.9662202,4.03621823353235
NCI-H2087,0.211672267573901,0.0048838496563782,0.68877564,0.9936069,2.92885668377048
8-MG-BA,0.248299346601657,0.0237162625490222,0.482677763,0.9921956,1.91341826405274
AGS,0.359839448498031,0.0,0.192806909,0.5965628,1.86311068593229
RCC10RGB,0.0472841565886827,0.0,0.72016808,0.6465829,6.97944476549758
HCC-56,0.175449164041784,0.021002839962697,0.678818337,0.9734546,2.51429995072711
NCI-H1623,0.159657590771729,0.0,0.617709187,0.9666699,4.07025185879306
